NamedEntity,Descriptive,Sentiment
Obama,unapologetic,Positive
Obama,clear,Positive
Obama,only,Positive
Obama,own,Positive
Obama,hypocritical,Negative
Obama,unfair,Positive
Obama,unlikely,Positive
Obama,moderate,Positive
Obama,same,Positive
Obama,same,Positive
Obama,constitutional,Positive
Obama,wrong,Positive
Obama,last,Negative
Obama,top,Positive
Obama,political,Positive
Obama,new,Positive
Obama,most,Positive
Obama,angry,Negative
Obama,commanding,Positive
Obama,conservative,Positive
Obama,irresistible,Positive
Obama,active,Positive
Obama,judicial,Neutral
Obama,strong,Positive
Obama,worst,Negative
Obama,little,Positive
Obama,judicial,Neutral
Obama,single,Neutral
Obama,available,Negative
Obama,hard,Negative
Obama,more,Positive
Obama,inflammatory,Negative
Obama,direct,Neutral
Obama,progressive,Neutral
Obama,congressional,Neutral
Obama,conservative,Positive
Obama,few,Negative
Obama,wild,Positive
Obama,imminent,Positive
Obama,certain,Positive
Obama,brutal,Negative
Obama,conservative,Positive
Obama,worrisome,Positive
Obama,troubling,Positive
Obama,raw,Positive
Obama,major,Positive
Obama,last,Negative
Obama,fundamental,Positive
Obama,conservative,Positive
Obama,conservative,Positive
Obama,preferred,Positive
Obama,stunning,Positive
Obama,front,Positive
Obama,oral,Negative
Obama,broad,Positive
Obama,equal,Positive
Obama,hypocritical,Negative
Obama,conservative,Positive
Obama,unlikely,Positive
Obama,ordinary,Positive
Obama,conservative,Positive
Obama,remarkable,Positive
Obama,progressive,Neutral
Obama,conservative,Positive
Obama,religious,Neutral
Obama,hypocritical,Negative
Obama,own,Positive
Obama,TRUE,Positive
Obama,important,Positive
Obama,moral,Positive
Obama,strategic,Positive
Obama,more,Positive
Obama,political,Positive
Obama,general,Neutral
Obama,specific,Positive
Obama,congressional,Neutral
Obama,basic,Negative
Obama,thin,Positive
Obama,modern,Positive
Obama,different,Positive
Obama,different,Positive
Obama,partisan,Neutral
Obama,minor,Negative
Obama,high,Positive
Obama,honorable,Positive
Obama,more,Positive
Obama,economic,Positive
Obama,reductive,Neutral
Obama,TRUE,Positive
Obama,least,Negative
Obama,ideological,Positive
Obama,good,Positive
Obama,stable,Positive
Obama,stable,Positive
Obama,less,Negative
Obama,solid,Positive
Obama,new,Positive
Obama,foreign,Neutral
Obama,reluctant,Positive
Obama,possible,Positive
Obama,lukewarm,Positive
Obama,unpopular,Negative
Obama,real,Positive
Obama,political,Positive
Obama,economic,Positive
Obama,civil,Neutral
Obama,mixed,Neutral
Obama,lukewarm,Positive
Obama,same,Positive
Obama,foreign,Neutral
Obama,same,Positive
Obama,correct,Positive
Obama,unlikely,Positive
Obama,better,Positive
Obama,certain,Positive
Obama,clear,Positive
Obama,corrupt,Negative
Obama,such,Positive
Obama,vocal,Positive
Obama,political,Positive
Obama,sweeping,Positive
Obama,many,Positive
Obama,critical,Positive
Obama,electoral,Neutral
Obama,political,Positive
Obama,afraid,Negative
Obama,popular,Positive
Obama,large,Positive
Obama,expansive,Positive
Obama,higher,Positive
Obama,private,Positive
Obama,liberal,Positive
Obama,top,Positive
Obama,lose,Negative
Obama,crucial,Positive
Obama,former,Negative
Obama,critical,Positive
Obama,big,Positive
Obama,competitive,Positive
Obama,last,Negative
Obama,vulnerable,Negative
Obama,free,Positive
Obama,serious,Positive
Obama,former,Negative
Obama,different,Positive
Obama,political,Positive
Obama,bold,Negative
Obama,new,Positive
Obama,political,Positive
Obama,current,Positive
Obama,many,Positive
Obama,high,Positive
Obama,more,Positive
Obama,medical,Positive
Obama,explicit,Neutral
Obama,political,Positive
Obama,more,Positive
Obama,more,Positive
Obama,closer,Positive
Obama,primary,Positive
Obama,key,Positive
Obama,skeptical,Positive
Obama,similar,Positive
Obama,higher,Positive
Obama,centrist,Neutral
Obama,primary,Positive
Obama,central,Positive
Obama,former,Negative
Obama,whole,Positive
Obama,conservative,Positive
Obama,general,Neutral
Obama,horrible,Negative
Obama,last,Negative
Obama,terrible,Positive
Obama,heated,Positive
Obama,significant,Positive
Obama,primary,Positive
Obama,universal,Positive
Obama,competitive,Positive
Obama,conservative,Positive
Obama,deep,Positive
Obama,moderate,Positive
Obama,endangered,Negative
Obama,apocalyptic,Negative
Obama,left,Positive
Obama,competitive,Positive
Obama,last,Negative
Obama,practical,Positive
Obama,average,Positive
Obama,nervous,Negative
Obama,little,Positive
Obama,primary,Positive
Obama,more,Positive
Obama,less,Negative
Obama,ultimate,Positive
Obama,different,Positive
Obama,inflexible,Negative
Obama,suspicious,Negative
Obama,last,Negative
Obama,single,Neutral
Obama,much,Positive
Obama,average,Positive
Obama,independent,Positive
Obama,nervous,Negative
Obama,little,Positive
Obama,same,Positive
Obama,open,Positive
Obama,higher,Positive
Obama,more,Positive
Obama,high,Positive
Obama,single,Neutral
Obama,little,Positive
Obama,bigger,Positive
Obama,damn,Positive
Obama,high,Positive
Obama,less,Negative
Obama,recent,Positive
Obama,primary,Positive
Obama,natural,Positive
Obama,likely,Positive
Obama,general,Neutral
Obama,extensive,Positive
Obama,white,Positive
Obama,working,Positive
Obama,FALSE,Negative
Obama,white,Positive
Obama,black,Positive
Obama,first,Positive
Obama,major,Positive
Obama,general,Neutral
Obama,clear,Positive
Obama,political,Positive
Obama,new,Positive
Obama,former,Negative
Obama,moderate,Positive
Obama,public,Neutral
Obama,fellow,Positive
Obama,private,Positive
Obama,friendly,Positive
Obama,ideological,Positive
Obama,different,Positive
Obama,longtime,Positive
Obama,much,Positive
Obama,actual,Positive
Obama,possible,Positive
Obama,leading,Positive
Obama,average,Positive
Obama,progressive,Neutral
Obama,former,Negative
Obama,persuadable,Neutral
Obama,crazy,Positive
Obama,similar,Positive
Obama,young,Positive
Obama,public,Neutral
Obama,last,Negative
Obama,moderate,Positive
Obama,recent,Positive
Obama,primary,Positive
Obama,former,Negative
Obama,first,Positive
Obama,distant,Positive
Obama,former,Negative
Obama,own,Positive
Obama,modest,Positive
Obama,reluctant,Positive
Obama,former,Negative
Obama,vague,Negative
Obama,good,Positive
Obama,old,Positive
Obama,higher,Positive
Obama,good,Positive
Obama,new,Positive
Obama,big,Positive
Obama,last,Negative
Obama,public,Neutral
Obama,political,Positive
Obama,new,Positive
Obama,clear,Positive
Obama,moderate,Positive
Obama,many,Positive
Obama,private,Positive
Obama,last,Negative
Obama,many,Positive
Obama,former,Negative
Obama,unfinished,Positive
Obama,principal,Positive
Obama,literary,Positive
Obama,former,Negative
Obama,meticulous,Positive
Obama,chronic,Negative
Obama,feisty,Positive
Obama,willing,Positive
Obama,great,Positive
Obama,particular,Positive
Obama,least,Negative
Obama,primary,Positive
Obama,careful,Positive
Obama,political,Positive
Obama,distant,Positive
Obama,cordial,Positive
Obama,individualized,Neutral
Obama,former,Negative
Obama,close,Positive
Obama,last,Negative
Obama,last,Negative
Obama,late,Positive
Obama,own,Positive
Obama,nervous,Negative
Obama,ultimate,Positive
Obama,few,Negative
Obama,happy,Positive
Obama,own,Positive
Obama,certain,Positive
Obama,bold,Negative
Obama,enough,Positive
Obama,bold,Negative
Obama,possible,Positive
Obama,cautious,Positive
Obama,less,Negative
Obama,interested,Positive
Obama,average,Positive
Obama,careful,Positive
Obama,clear,Positive
Obama,big,Positive
Obama,political,Positive
Obama,much,Positive
Obama,next,Positive
Obama,former,Negative
Obama,best,Positive
Obama,fellow,Positive
Obama,political,Positive
Obama,worth,Positive
Obama,political,Positive
Obama,right,Positive
Obama,real,Positive
Obama,strong,Positive
Obama,risky,Positive
Obama,more,Positive
Obama,big,Positive
Obama,red,Positive
Obama,political,Positive
Obama,political,Positive
Obama,big,Positive
Obama,difficult,Positive
Obama,moderate,Positive
Obama,political,Positive
Obama,conservative,Positive
Obama,enough,Positive
Obama,conservative,Positive
Obama,big,Positive
Obama,more,Positive
Obama,likely,Positive
Obama,able,Positive
Obama,new,Positive
Obama,political,Positive
Obama,political,Positive
Obama,more,Positive
Obama,last,Negative
Obama,modest,Positive
Obama,economic,Positive
Obama,legislative,Neutral
Obama,better,Positive
Obama,political,Positive
Obama,primary,Positive
Obama,general,Neutral
Obama,next,Positive
Obama,able,Positive
Obama,many,Positive
Obama,negative,Negative
Obama,troubled,Negative
Obama,first,Positive
Obama,new,Positive
Obama,higher,Positive
Obama,own,Positive
Obama,different,Positive
Obama,such,Positive
Obama,worth,Positive
Obama,old,Positive
Obama,successful,Positive
Obama,political,Positive
Obama,good,Positive
Obama,hardened,Negative
Obama,possible,Positive
Obama,better,Positive
Obama,dangerous,Positive
Obama,different,Positive
Obama,full,Positive
Obama,poor,Positive
Obama,higher,Positive
Obama,larger,Positive
Obama,public,Neutral
Obama,liberal,Positive
Obama,electoral,Neutral
Obama,difficult,Positive
Obama,moderate,Positive
Obama,likely,Positive
Obama,higher,Positive
Obama,obvious,Positive
Obama,political,Positive
Obama,lead,Neutral
Obama,political,Positive
Obama,big,Positive
Obama,fair,Positive
Obama,expansive,Positive
Obama,higher,Positive
Obama,minimum,Negative
Obama,more,Positive
Obama,former,Negative
Obama,less,Negative
Obama,different,Positive
Obama,recent,Positive
Obama,closest,Positive
Obama,general,Neutral
Obama,political,Positive
Obama,obliterated,Neutral
Obama,more,Positive
Obama,successful,Positive
Obama,own,Positive
Obama,past,Positive
Obama,recent,Positive
Obama,foreign,Neutral
Obama,former,Negative
Obama,willing,Positive
Obama,few,Negative
Obama,careful,Positive
Obama,enthusiastic,Positive
Obama,careful,Positive
Obama,stop,Neutral
Obama,stop,Neutral
Obama,artificial,Positive
Obama,vast,Positive
Obama,minimum,Negative
Obama,only,Positive
Obama,major,Positive
Obama,better,Positive
Obama,more,Positive
Obama,popular,Positive
Obama,such,Positive
Obama,average,Positive
Obama,less,Negative
Obama,interested,Positive
Obama,rare,Positive
Obama,former,Negative
Obama,careful,Positive
Obama,large,Positive
Obama,more,Positive
Obama,top,Positive
Obama,liberal,Positive
Obama,former,Negative
Obama,liberal,Positive
Obama,fierce,Positive
Obama,former,Negative
Obama,former,Negative
Obama,possible,Positive
Obama,huge,Positive
Obama,grateful,Positive
Obama,ideological,Positive
Obama,most,Positive
Obama,exciting,Positive
Obama,public,Neutral
Obama,big,Positive
Obama,greater,Positive
Obama,long,Positive
Obama,ambitious,Negative
Obama,tepid,Positive
Obama,first,Positive
Obama,major,Positive
Obama,moderate,Positive
Obama,moderate,Positive
Obama,progressive,Neutral
Obama,wealthy,Positive
Obama,liberal,Positive
Obama,long,Positive
Obama,combative,Neutral
Obama,primary,Positive
Obama,general,Neutral
Obama,robust,Positive
Obama,robust,Positive
Obama,liberal,Positive
Obama,further,Positive
Obama,public,Neutral
Obama,single,Neutral
Obama,specific,Positive
Obama,primary,Positive
Obama,moderate,Positive
Obama,same,Positive
Obama,certain,Positive
Obama,average,Positive
Obama,extraordinary,Positive
Obama,primary,Positive
Obama,former,Negative
Obama,careful,Positive
Obama,primary,Positive
Obama,certain,Positive
Obama,bold,Negative
Obama,enough,Positive
Obama,bold,Negative
Obama,possible,Positive
Obama,wealthy,Positive
Obama,political,Positive
Obama,intended,Neutral
Obama,recent,Positive
Obama,top,Positive
Obama,late,Positive
Obama,experienced,Positive
Obama,early,Positive
Obama,most,Positive
Obama,short,Positive
Obama,large,Positive
Obama,former,Negative
Obama,former,Negative
Obama,public,Neutral
Obama,former,Negative
Obama,different,Positive
Obama,former,Negative
Obama,clear,Positive
Obama,many,Positive
Obama,unsuccessful,Negative
Obama,last,Negative
Trump,next,Positive
Trump,proven,Positive
Trump,sensitive,Positive
Trump,federal,Neutral
Trump,individual,Neutral
Trump,guilty,Negative
Trump,angry,Negative
Trump,liberal,Positive
Trump,first,Positive
Trump,natural,Positive
Trump,political,Positive
Trump,entire,Positive
Trump,political,Positive
Trump,close,Positive
Trump,smart,Positive
Trump,primary,Positive
Trump,current,Positive
Trump,public,Neutral
Trump,general,Neutral
Trump,brief,Positive
Trump,only,Positive
Trump,corrupt,Negative
Trump,high,Positive
Trump,poor,Positive
Trump,moral,Positive
Trump,formal,Neutral
Trump,least,Negative
Trump,high,Positive
Trump,serious,Positive
Trump,parliamentary,Neutral
Trump,larger,Positive
Trump,first,Positive
Trump,formal,Neutral
Trump,first,Positive
Trump,worst,Negative
Trump,full,Positive
Trump,single,Neutral
Trump,future,Positive
Trump,congressional,Neutral
Trump,more,Positive
Trump,next,Positive
Trump,secret,Positive
Trump,illegal,Positive
Trump,more,Positive
Trump,real,Positive
Trump,congressional,Neutral
Trump,same,Positive
Trump,more,Positive
Trump,independent,Positive
Trump,FALSE,Negative
Trump,unconventional,Positive
Trump,last,Negative
Trump,many,Positive
Trump,conservative,Positive
Trump,military,Positive
Trump,many,Positive
Trump,political,Positive
Trump,political,Positive
Trump,next,Positive
Trump,new,Positive
Trump,political,Positive
Trump,recent,Positive
Trump,main,Positive
Trump,legal,Positive
Trump,most,Positive
Trump,senior,Positive
Trump,key,Positive
Trump,longtime,Positive
Trump,last,Negative
Trump,missed,Negative
Trump,unimportant,Positive
Trump,understandable,Neutral
Trump,trivial,Negative
Trump,discriminatory,Positive
Trump,political,Positive
Trump,immigrant,Negative
Trump,senior,Positive
Trump,convenient,Positive
Trump,casual,Neutral
Trump,conclusive,Positive
Trump,central,Positive
Trump,partisan,Neutral
Trump,political,Positive
Trump,detailed,Positive
Trump,detailed,Positive
Trump,big,Positive
Trump,most,Positive
Trump,political,Positive
Trump,future,Positive
Trump,political,Positive
Trump,last,Negative
Trump,last,Negative
Trump,notable,Positive
Trump,past,Positive
Trump,legal,Positive
Trump,top,Positive
Trump,direct,Neutral
Trump,further,Positive
Trump,formal,Neutral
Trump,past,Positive
Trump,closer,Positive
Trump,high,Positive
Trump,undocumented,Negative
Trump,last,Negative
Trump,best,Positive
Trump,full,Positive
Trump,unsuccessful,Negative
Trump,undocumented,Negative
Trump,high,Positive
Trump,certain,Positive
Trump,criminal,Negative
Trump,same,Positive
Trump,independent,Positive
Trump,more,Positive
Trump,public,Neutral
Trump,highest,Positive
Trump,private,Positive
Trump,white,Positive
Trump,white,Positive
Trump,independent,Positive
Trump,credible,Positive
Trump,enough,Positive
Trump,free,Positive
Trump,public,Neutral
Trump,proper,Positive
Trump,excellent,Positive
Trump,next,Positive
Trump,public,Neutral
Trump,next,Positive
Trump,next,Positive
Trump,beneficial,Positive
Trump,political,Positive
Trump,congressional,Neutral
Trump,public,Neutral
Trump,final,Positive
Trump,entire,Positive
Trump,deep,Positive
Trump,unfair,Positive
Trump,public,Neutral
Trump,constitutional,Positive
Trump,impeachable,Neutral
Trump,late,Positive
Trump,unconstitutional,Negative
Trump,top,Positive
Trump,full,Positive
Trump,unlikely,Positive
Trump,recent,Positive
Trump,TRUE,Positive
Trump,first,Positive
Trump,last,Negative
Trump,special,Positive
Trump,next,Positive
Trump,prime,Positive
Trump,own,Positive
Trump,unpredictable,Negative
Trump,senior,Positive
Trump,unusual,Positive
Trump,able,Positive
Trump,big,Positive
Trump,last,Negative
Trump,next,Positive
Trump,working,Positive
Trump,prime,Positive
Trump,good,Positive
Trump,new,Positive
Trump,last,Negative
Trump,most,Positive
Trump,ardent,Positive
Trump,few,Negative
Trump,open,Positive
Trump,better,Positive
Trump,former,Negative
Trump,last,Negative
Trump,vocal,Positive
Trump,worst,Negative
Trump,biggest,Positive
Trump,pleased,Positive
Trump,wary,Positive
Trump,powerful,Positive
Trump,many,Positive
Trump,former,Negative
Trump,open,Positive
Trump,conservative,Positive
Trump,next,Positive
Trump,measured,Neutral
Trump,right,Positive
Trump,accountable,Positive
Trump,available,Negative
Trump,last,Negative
Trump,familiar,Positive
Trump,private,Positive
Trump,necessary,Positive
Trump,conservative,Positive
Trump,reluctant,Positive
Trump,different,Positive
Trump,recent,Positive
Trump,sure,Positive
Trump,own,Positive
Trump,close,Positive
Trump,unapologetic,Positive
Trump,farcical,Negative
Trump,most,Positive
Trump,honored,Positive
Trump,chief,Positive
Trump,last,Negative
Trump,most,Positive
Trump,ardent,Positive
Trump,full,Positive
